title ,url ,thumbnail_url ,channel name ,views ,uploaded ,description 
Outer Banks 3 | Official Trailer | Netflix,https://www.youtube.com/watch?v=T0w8iL2vS04,https://i.ytimg.com/vi/T0w8iL2vS04/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAxCmqE8Vi1iddfp5fwybfPAbBrsA,Netflix,2.1M views,1 day ago,"Nothing to lose. Outer Banks S3 premieres Feb 23, only on Netflix. SUBSCRIBE: http://bit.ly/29qBUt7 About Netflix: Netflix is one of the world's leading entertainment services with 231 million..."
ENA: Dream BBQ - Official Trailer,https://www.youtube.com/watch?v=qLurAhsqXWc,https://i.ytimg.com/vi/qLurAhsqXWc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAw9NkU7zbH3j6zdUF2lRuc9EY95Q,Joel G,2.1M views,1 day ago,Wishlist on Steam: https://store.steampowered.com/app/2134320 Support the channel on Patreon: https://www.patreon.com/joelg Ena merch: -Amazon(available in the US. and UK): https://www.joelgc.com...
Succession Season 4 | Official Teaser Trailer | HBO,https://www.youtube.com/watch?v=sWlURhM5P5Q,https://i.ytimg.com/vi/sWlURhM5P5Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBZoDZQMnrDx3mMcaVn0k2GDYI0qQ,HBO Max,2.1M views,1 day ago,"This is a chessboard, and every move is crucial. Season 4 of #Succession premieres March 26 on @hbomax. About HBO Max: HBO Max is WarnerBrosDiscovery’s direct-to-consumer offering with 10,000..."
Scream VI | Official Trailer (2023 Movie),https://www.youtube.com/watch?v=h74AXqw4Opc,,Paramount Pictures,2.1M views,1 day ago,"This is unlike any other Ghostface. Watch the NEW trailer for #ScreamVI - Only in theatres March 10, 2023. Following the latest Ghostface killings, the four survivors leave Woodsboro behind..."
The Mandalorian | Season 3 Official Trailer | Disney+,https://www.youtube.com/watch?v=Znsa4Deavgg,,Star Wars,2.1M views,1 day ago,"Reunited. The Mandalorian, Season 3 March 1 on Disney+. The journeys of the Mandalorian through the Star Wars galaxy continue. Once a lone bounty hunter, Din Djarin has reunited with Grogu...."
The Boogeyman | Official Trailer | In Theaters June 2,https://www.youtube.com/watch?v=QsudEHsuvIg,,20th Century Studios,2.1M views,1 day ago,"From the mind of Stephen King, see #TheBoogeyman only in theaters June 2. 🫣 20th Century Studios and 21 Laps present “The Boogeyman,” a horror-thriller from the mind of best-selling..."
"Tu Jhoothi Main Makkaar(Official Trailer) Ranbir,Shraddha |Luv Ranjan | Bhushan K | Ankur G |March 8",https://www.youtube.com/watch?v=Cx_Dtwn4ayw,,T-Series,2.1M views,1 day ago,Madness ensues when a 'Player' in the world of romantic relationships finds a girl who's a worthy opponent. Tu Jhoothi Main Makkaar is a film that believes Love is a battle of wits. Let the...
Pathaan | Official Trailer | Shah Rukh Khan | Deepika Padukone | John Abraham | Siddharth Anand,https://www.youtube.com/watch?v=vqu4z34wENw,,YRF,2.1M views,1 day ago,It doesn’t get BIGGER than this! Here’s the Pathaan Trailer that you all have been waiting for! Book your tickets NOW! BookMyShow: https://bookmy.show/Pathaan | Paytm: https://m.paytm.me/patha...
Marvel Studios’ Ant-Man and The Wasp: Quantumania | New Trailer,https://www.youtube.com/watch?v=5WfTEZJnv_8,,Marvel Entertainment,2.1M views,1 day ago,Experience Marvel Studios’ Ant-Man and The Wasp: Quantumania in 3D February 17. Get tickets now: http://www.fandango.com/AntManAndTheWasp ► Subscribe to Marvel on YouTube: http://bit.ly/WeO3Y...
Beau Is Afraid | Official Trailer HD | A24,https://www.youtube.com/watch?v=PuiWDn976Ek,,A24,2.1M views,1 day ago,SUBSCRIBE: http://bit.ly/A24subscribe From director Ari Aster and starring Academy Award winner Joaquin Phoenix. BEAU IS AFRAID – In Theaters This April. #BeauIsAfraid RELEASE DATE: April...
